,Unnamed: 0,Event,Time,Port,Vessel,VesselType
191,191,Arrival,2019-12-08 15:27,PALM BEACH,LADY REBECCA [US],yacht
192,192,Departure,2019-12-08 15:27,KOELN,WSP 3 [DE],undefined
193,193,Arrival,2019-12-08 15:27,ASKO,M.F.ASKOE [DK],passenger
194,194,Arrival,2019-12-08 15:26,TOLEDO,OHIO [US],tug
195,195,Departure,2019-12-08 15:26,BREMERHAVEN,PILOT FAXE (129) [DE],tug
196,196,Departure,2019-12-08 15:26,RODOY,EYR MYKEN [NO],tug
197,197,Arrival,2019-12-08 15:26,ABIDJAN,PETRO CRAFT 1605-6 [CI],tug
198,198,Arrival,2019-12-08 15:26,BARCELONA,ARKLOW DALE [ES],cargo
199,199,Departure,2019-12-08 15:26,PIRAEUS,APOLLON HELLAS [GR],passenger
200,200,Arrival,2019-12-08 15:26,PORT CARTIER,OCEAN ROSS GAUDRAULT [CA],tug
201,201,Departure,2019-12-08 15:26,QUIBERON,BANGOR [FR],passenger
202,202,Departure,2019-12-08 15:26,AMSTERDAM,KOKMEEUW [NL],tug
203,203,Arrival,2019-12-08 15:26,CLINTON,WSF KITTITAS [US],passenger
204,204,Arrival,2019-12-08 15:26,AVALON,BAYWATCH12 [US],undefined
205,205,Arrival,2019-12-08 15:26,VIRTSU,PIRET [EE],passenger
206,206,Departure,2019-12-08 15:26,ROTTERDAM CENTRUM,MSTX 2 [NL],high speed
207,207,Departure,2019-12-08 15:26,ALGECIRAS,AVEMAR DOS [ES],high speed
208,208,Departure,2019-12-08 15:26,CHERRY POINT,AWARE [US],tug
209,209,Arrival,2019-12-08 15:26,NOVOROSSIYSK,OZGUN [RU],cargo
210,210,Departure,2019-12-08 15:26,STUTTGART,WILHELMA [DE],yacht
211,211,Arrival,2019-12-08 15:26,GRINDAVIK,DUDDI GISLA [IS],fishing
212,212,Departure,2019-12-08 15:26,NORDENHAM,BREMERHAVEN [DE],passenger
213,213,Departure,2019-12-08 15:26,PARGUA,TREHUACO [CL],passenger
214,214,Arrival,2019-12-08 15:26,ZAANDAM,ELLY GLASIUS [NL],passenger
215,215,Arrival,2019-12-08 15:26,SUNDE,RONJA STRAND [NO],cargo
216,216,Departure,2019-12-08 15:26,AMSTERDAM,ELLY GLASIUS [NL],passenger
217,217,Arrival,2019-12-08 15:26,BEIDENFLETH,STEINBURG [DE],yacht
218,218,Arrival,2019-12-08 15:26,HYANNIS,IYANOUGH [US],high speed
219,219,Arrival,2019-12-08 15:26,WILHELMSHAVEN,PILOT WARNEMUENDE [DE],tug
220,220,Departure,2019-12-08 15:26,BLECKEDE,AMT NEUHAUS [DE],passenger
221,221,Arrival,2019-12-08 15:26,STAVANGER,FJORDLYS [NO],high speed
222,222,Departure,2019-12-08 15:26,HELSINGBORG,HAMLET [SE],passenger
223,223,Departure,2019-12-08 15:26,PAPENDRECHT,AQUA RUNNER [NL],passenger
224,224,Departure,2019-12-08 15:26,ROZENBURG,BLANKENBURG [NL],passenger
225,225,Arrival,2019-12-08 15:26,HAUGESUND,FJORDLED [NO],high speed
226,226,Arrival,2019-12-08 15:26,ROTTERDAM CENTRUM,MSTX 14 [NL],high speed
227,227,Departure,2019-12-08 15:26,UST-LUGA,SKIF [RU],tug
228,228,Arrival,2019-12-08 15:26,DUISBURG,SAMARY [DE],cargo
229,229,Departure,2019-12-08 15:26,ROTTERDAM WAALHAVEN,ABEL TASMAN [NL],undefined
230,230,Arrival,2019-12-08 15:26,NANTUCKET,NANTUCKET EXPRESS [US],passenger
231,231,Arrival,2019-12-08 15:26,DELFSHAVEN,CHRISTINA [NL],passenger
232,232,Departure,2019-12-08 15:26,PORTSMOUTH,WIGHT RYDER 1 [GB],high speed
233,233,Arrival,2019-12-08 15:26,KINSALE,RNLI LIFEBOAT B-909 [IE],tug
234,234,Departure,2019-12-08 15:26,PORTSMOUTH,SPIRIT OF PORTSMOUTH [GB],passenger
